"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
147;65-79;1719;2022-01-31
151;65-79;868;2022-01-31
153;65-79;816;2022-01-31
155;65-79;358;2022-01-31
157;65-79;1482;2022-01-31
159;65-79;1133;2022-01-31
161;65-79;438;2022-01-31
163;65-79;554;2022-01-31
165;65-79;580;2022-01-31
167;65-79;980;2022-01-31
169;65-79;908;2022-01-31
173;65-79;959;2022-01-31
175;65-79;688;2022-01-31
183;65-79;441;2022-01-31
185;65-79;883;2022-01-31
187;65-79;346;2022-01-31
190;65-79;666;2022-01-31
201;65-79;431;2022-01-31
210;65-79;862;2022-01-31
217;65-79;1377;2022-01-31
219;65-79;859;2022-01-31
223;65-79;580;2022-01-31
230;65-79;1037;2022-01-31
240;65-79;764;2022-01-31
250;65-79;886;2022-01-31
253;65-79;965;2022-01-31
259;65-79;959;2022-01-31
260;65-79;572;2022-01-31
265;65-79;1366;2022-01-31
269;65-79;415;2022-01-31
270;65-79;874;2022-01-31
306;65-79;557;2022-01-31
316;65-79;1061;2022-01-31
320;65-79;550;2022-01-31
326;65-79;746;2022-01-31
329;65-79;452;2022-01-31
330;65-79;1144;2022-01-31
336;65-79;448;2022-01-31
340;65-79;405;2022-01-31
350;65-79;403;2022-01-31
360;65-79;833;2022-01-31
370;65-79;1251;2022-01-31
376;65-79;1136;2022-01-31
390;65-79;851;2022-01-31
400;65-79;668;2022-01-31
410;65-79;463;2022-01-31
420;65-79;418;2022-01-31
430;65-79;708;2022-01-31
440;65-79;305;2022-01-31
450;65-79;547;2022-01-31
461;65-79;2241;2022-01-31
479;65-79;851;2022-01-31
480;65-79;408;2022-01-31
482;65-79;210;2022-01-31
492;65-79;96;2022-01-31
510;65-79;739;2022-01-31
530;65-79;324;2022-01-31
540;65-79;807;2022-01-31
550;65-79;484;2022-01-31
561;65-79;1515;2022-01-31
563;65-79;81;2022-01-31
573;65-79;673;2022-01-31
575;65-79;480;2022-01-31
580;65-79;731;2022-01-31
607;65-79;632;2022-01-31
615;65-79;937;2022-01-31
621;65-79;938;2022-01-31
630;65-79;1197;2022-01-31
657;65-79;1045;2022-01-31
661;65-79;808;2022-01-31
665;65-79;350;2022-01-31
671;65-79;356;2022-01-31
706;65-79;513;2022-01-31
707;65-79;396;2022-01-31
710;65-79;426;2022-01-31
727;65-79;280;2022-01-31
730;65-79;1031;2022-01-31
740;65-79;1032;2022-01-31
741;65-79;49;2022-01-31
746;65-79;712;2022-01-31
751;65-79;3350;2022-01-31
756;65-79;465;2022-01-31
760;65-79;694;2022-01-31
766;65-79;539;2022-01-31
773;65-79;328;2022-01-31
779;65-79;585;2022-01-31
787;65-79;576;2022-01-31
791;65-79;1096;2022-01-31
810;65-79;512;2022-01-31
813;65-79;890;2022-01-31
820;65-79;679;2022-01-31
825;65-79;13;2022-01-31
840;65-79;341;2022-01-31
846;65-79;583;2022-01-31
849;65-79;552;2022-01-31
851;65-79;2126;2022-01-31
860;65-79;949;2022-01-31
;80+;69;2022-01-31
011;80+;2;2022-01-31
101;80+;2057;2022-01-31
147;80+;713;2022-01-31
151;80+;342;2022-01-31
153;80+;239;2022-01-31
155;80+;114;2022-01-31
157;80+;470;2022-01-31
159;80+;406;2022-01-31
161;80+;172;2022-01-31
163;80+;219;2022-01-31
165;80+;121;2022-01-31
167;80+;323;2022-01-31
169;80+;251;2022-01-31
173;80+;363;2022-01-31
175;80+;198;2022-01-31
183;80+;93;2022-01-31
185;80+;300;2022-01-31
187;80+;97;2022-01-31
190;80+;230;2022-01-31
201;80+;150;2022-01-31
210;80+;221;2022-01-31
217;80+;403;2022-01-31
219;80+;210;2022-01-31
223;80+;207;2022-01-31
230;80+;357;2022-01-31
240;80+;195;2022-01-31
250;80+;235;2022-01-31
253;80+;202;2022-01-31
259;80+;195;2022-01-31
260;80+;128;2022-01-31
265;80+;349;2022-01-31
269;80+;87;2022-01-31
270;80+;259;2022-01-31
306;80+;104;2022-01-31
316;80+;220;2022-01-31
320;80+;98;2022-01-31
326;80+;194;2022-01-31
329;80+;142;2022-01-31
330;80+;348;2022-01-31
336;80+;117;2022-01-31
340;80+;94;2022-01-31
350;80+;85;2022-01-31
360;80+;240;2022-01-31
370;80+;298;2022-01-31
376;80+;334;2022-01-31
390;80+;162;2022-01-31
400;80+;133;2022-01-31
410;80+;118;2022-01-31
420;80+;87;2022-01-31
430;80+;136;2022-01-31
440;80+;76;2022-01-31
450;80+;134;2022-01-31
461;80+;510;2022-01-31
479;80+;189;2022-01-31
480;80+;110;2022-01-31
482;80+;30;2022-01-31
492;80+;13;2022-01-31
510;80+;198;2022-01-31
530;80+;94;2022-01-31
540;80+;224;2022-01-31
550;80+;93;2022-01-31
561;80+;353;2022-01-31
563;80+;7;2022-01-31
573;80+;153;2022-01-31
575;80+;130;2022-01-31
580;80+;193;2022-01-31
607;80+;165;2022-01-31
615;80+;201;2022-01-31
621;80+;209;2022-01-31
630;80+;253;2022-01-31
657;80+;258;2022-01-31
661;80+;195;2022-01-31
665;80+;71;2022-01-31
671;80+;73;2022-01-31
706;80+;112;2022-01-31
707;80+;80;2022-01-31
710;80+;95;2022-01-31
727;80+;59;2022-01-31
730;80+;242;2022-01-31
740;80+;168;2022-01-31
741;80+;13;2022-01-31
746;80+;162;2022-01-31
751;80+;809;2022-01-31
